INFO:root:Insertion for Person309, property 78: 0.005008 seconds
INFO:root:Insertion for Person310, property 23: 0.006008 seconds
INFO:root:Insertion for Person311, property 54: 0.004782 seconds
INFO:root:Insertion for Person312, property 68: 0.005044 seconds
INFO:root:Insertion for Person313, property 46: 0.006411 seconds
INFO:root:Insertion for Person314, property 14: 0.005000 seconds
INFO:root:Insertion for Person315, property 79: 0.004003 seconds
INFO:root:Insertion for Person316, property 77: 0.004866 seconds
INFO:root:Insertion for Person317, property 40: 0.005006 seconds
INFO:root:Insertion for Person318, property 18: 0.005000 seconds
INFO:root:Insertion for Person319, property 26: 0.005001 seconds
INFO:root:Insertion for Person320, property 27: 0.005596 seconds
INFO:root:Insertion for Person321, property 49: 0.004519 seconds
INFO:root:Insertion for Person322, property 95: 0.005317 seconds
INFO:root:Insertion for Person323, property 67: 0.005015 seconds
INFO:root:Insertion for Person324, property 2: 0.005759 seconds
INFO:root:Insertion for Person325, property 38: 0.004131 seconds
INFO:root:Insertion for Person326, property 2: 0.005370 seconds
INFO:root:Insertion for Person327, property 76: 0.006078 seconds
INFO:root:Insertion for Person328, property 80: 0.003996 seconds
INFO:root:Insertion for Person329, property 15: 0.005010 seconds
INFO:root:Insertion for Person330, property 79: 0.005006 seconds
INFO:root:Insertion for Person331, property 39: 0.003852 seconds
INFO:root:Insertion for Person332, property 27: 0.004890 seconds
INFO:root:Insertion for Person333, property 93: 0.005001 seconds
INFO:root:Insertion for Person334, property 44: 0.004002 seconds
INFO:root:Insertion for Person335, property 55: 0.004594 seconds
INFO:root:Insertion for Person336, property 47: 0.003810 seconds
INFO:root:Insertion for Person337, property 3: 0.004759 seconds
INFO:root:Insertion for Person338, property 86: 0.004781 seconds
INFO:root:Insertion for Person339, property 37: 0.003676 seconds
INFO:root:Insertion for Person340, property 46: 0.005794 seconds
INFO:root:Insertion for Person341, property 57: 0.006053 seconds
INFO:root:Insertion for Person342, property 41: 0.005640 seconds
INFO:root:Insertion for Person343, property 86: 0.005338 seconds
INFO:root:Insertion for Person344, property 34: 0.005457 seconds
INFO:root:Insertion for Person345, property 10: 0.005007 seconds
INFO:root:Insertion for Person346, property 82: 0.004567 seconds
INFO:root:Insertion for Person347, property 42: 0.004927 seconds
INFO:root:Insertion for Person348, property 56: 0.004567 seconds
INFO:root:Insertion for Person349, property 18: 0.003445 seconds
INFO:root:Insertion for Person350, property 97: 0.004470 seconds
INFO:root:Insertion for Person351, property 50: 0.004348 seconds
INFO:root:Insertion for Person352, property 79: 0.005000 seconds
INFO:root:Insertion for Person353, property 4: 0.004002 seconds
INFO:root:Insertion for Person354, property 15: 0.004837 seconds
INFO:root:Insertion for Person355, property 7: 0.005626 seconds
INFO:root:Insertion for Person356, property 46: 0.004248 seconds
INFO:root:Insertion for Person357, property 81: 0.004832 seconds
INFO:root:Insertion for Person358, property 61: 0.004353 seconds
INFO:root:Insertion for Person359, property 54: 0.003999 seconds
INFO:root:Insertion for Person360, property 94: 0.003056 seconds
INFO:root:Insertion for Person361, property 53: 0.004120 seconds
INFO:root:Insertion for Person362, property 47: 0.004581 seconds
INFO:root:Insertion for Person363, property 86: 0.003473 seconds
INFO:root:Insertion for Person364, property 64: 0.003079 seconds
INFO:root:Insertion for Person365, property 18: 0.003356 seconds
INFO:root:Insertion for Person366, property 56: 0.004343 seconds
INFO:root:Insertion for Person367, property 82: 0.004391 seconds
INFO:root:Insertion for Person368, property 45: 0.003344 seconds
INFO:root:Insertion for Person369, property 62: 0.004939 seconds
INFO:root:Insertion for Person370, property 33: 0.003375 seconds
INFO:root:Insertion for Person371, property 45: 0.004233 seconds
INFO:root:Insertion for Person372, property 84: 0.004007 seconds
INFO:root:Insertion for Person373, property 91: 0.004612 seconds
INFO:root:Insertion for Person374, property 33: 0.004245 seconds
INFO:root:Insertion for Person375, property 85: 0.003770 seconds
INFO:root:Insertion for Person376, property 87: 0.003809 seconds
INFO:root:Insertion for Person377, property 24: 0.004014 seconds
INFO:root:Insertion for Person378, property 75: 0.003457 seconds
INFO:root:Insertion for Person379, property 49: 0.004116 seconds
INFO:root:Insertion for Person380, property 18: 0.003460 seconds
INFO:root:Insertion for Person381, property 50: 0.003407 seconds
INFO:root:Insertion for Person382, property 85: 0.004597 seconds
INFO:root:Insertion for Person383, property 50: 0.004269 seconds
INFO:root:Insertion for Person384, property 75: 0.003292 seconds
INFO:root:Insertion for Person385, property 17: 0.003977 seconds
INFO:root:Insertion for Person386, property 56: 0.004198 seconds
INFO:root:Insertion for Person387, property 89: 0.003462 seconds
INFO:root:Insertion for Person388, property 74: 0.004013 seconds
INFO:root:Insertion for Person389, property 30: 0.003154 seconds
INFO:root:Insertion for Person390, property 1: 0.003006 seconds
INFO:root:Insertion for Person391, property 23: 0.004008 seconds
INFO:root:Insertion for Person392, property 39: 0.003649 seconds
INFO:root:Insertion for Person393, property 92: 0.003999 seconds
INFO:root:Insertion for Person394, property 28: 0.003487 seconds
INFO:root:Insertion for Person395, property 70: 0.004514 seconds
INFO:root:Insertion for Person396, property 45: 0.003547 seconds
INFO:root:Insertion for Person397, property 52: 0.003626 seconds
INFO:root:Insertion for Person398, property 93: 0.004216 seconds
INFO:root:Insertion for Person399, property 32: 0.004546 seconds
INFO:root:Insertion for Person400, property 76: 0.004466 seconds
INFO:root:Insertion for Person401, property 54: 0.003467 seconds
INFO:root:Insertion for Person402, property 27: 0.004088 seconds
INFO:root:Insertion for Person403, property 34: 0.004500 seconds
INFO:root:Insertion for Person404, property 49: 0.003496 seconds
INFO:root:Insertion for Person405, property 18: 0.003562 seconds
INFO:root:Insertion for Person406, property 35: 0.003762 seconds
INFO:root:Insertion for Person407, property 71: 0.003490 seconds
INFO:root:Insertion for Person408, property 59: 0.004498 seconds
INFO:root:Insertion for Person409, property 21: 0.003419 seconds
INFO:root:Insertion for Person410, property 61: 0.004033 seconds
INFO:root:Insertion for Person411, property 24: 0.004850 seconds
INFO:root:Insertion for Person412, property 44: 0.004737 seconds
INFO:root:Insertion for Person413, property 96: 0.003417 seconds
INFO:root:Insertion for Person414, property 97: 0.003314 seconds
INFO:root:Insertion for Person415, property 9: 0.003968 seconds
INFO:root:Insertion for Person416, property 61: 0.004123 seconds
INFO:root:Insertion for Person417, property 4: 0.004539 seconds
INFO:root:Insertion for Person418, property 61: 0.003350 seconds
INFO:root:Insertion for Person419, property 89: 0.003389 seconds
INFO:root:Insertion for Person420, property 70: 0.004520 seconds
INFO:root:Insertion for Person421, property 45: 0.004557 seconds
INFO:root:Insertion for Person422, property 15: 0.003357 seconds
INFO:root:Insertion for Person423, property 24: 0.003431 seconds
INFO:root:Insertion for Person424, property 28: 0.005032 seconds
INFO:root:Insertion for Person425, property 61: 0.003255 seconds
INFO:root:Insertion for Person426, property 75: 0.003988 seconds
INFO:root:Insertion for Person427, property 43: 0.003013 seconds
INFO:root:Insertion for Person428, property 74: 0.003851 seconds
INFO:root:Insertion for Person429, property 38: 0.003405 seconds
INFO:root:Insertion for Person430, property 50: 0.002795 seconds
INFO:root:Insertion for Person431, property 70: 0.003033 seconds
INFO:root:Insertion for Person432, property 80: 0.004001 seconds
INFO:root:Insertion for Person433, property 30: 0.005311 seconds
INFO:root:Insertion for Person434, property 3: 0.004483 seconds
INFO:root:Insertion for Person435, property 100: 0.004000 seconds
INFO:root:Insertion for Person436, property 83: 0.004002 seconds
INFO:root:Insertion for Person437, property 45: 0.003385 seconds
INFO:root:Insertion for Person438, property 95: 0.003636 seconds
INFO:root:Insertion for Person439, property 99: 0.002313 seconds
INFO:root:Insertion for Person440, property 49: 0.004010 seconds
INFO:root:Insertion for Person441, property 64: 0.003086 seconds
INFO:root:Insertion for Person442, property 71: 0.003474 seconds
INFO:root:Insertion for Person443, property 59: 0.003214 seconds
INFO:root:Insertion for Person444, property 43: 0.003759 seconds
INFO:root:Insertion for Person445, property 74: 0.003938 seconds
INFO:root:Insertion for Person446, property 4: 0.005236 seconds
INFO:root:Insertion for Person447, property 16: 0.004319 seconds
INFO:root:Insertion for Person448, property 81: 0.004394 seconds
INFO:root:Insertion for Person449, property 39: 0.003090 seconds
INFO:root:Insertion for Person450, property 15: 0.003302 seconds
INFO:root:Insertion for Person451, property 67: 0.004513 seconds
INFO:root:Insertion for Person452, property 42: 0.004045 seconds
INFO:root:Insertion for Person453, property 15: 0.004007 seconds
INFO:root:Insertion for Person454, property 24: 0.004071 seconds
INFO:root:Insertion for Person455, property 21: 0.003875 seconds
INFO:root:Insertion for Person456, property 24: 0.003708 seconds
INFO:root:Insertion for Person457, property 75: 0.002907 seconds
INFO:root:Insertion for Person458, property 55: 0.003161 seconds
INFO:root:Insertion for Person459, property 32: 0.003469 seconds
INFO:root:Insertion for Person460, property 64: 0.004603 seconds
INFO:root:Insertion for Person461, property 95: 0.004481 seconds
INFO:root:Insertion for Person462, property 48: 0.003591 seconds
INFO:root:Insertion for Person463, property 38: 0.004405 seconds
INFO:root:Insertion for Person464, property 73: 0.003054 seconds
INFO:root:Insertion for Person465, property 60: 0.004857 seconds
INFO:root:Insertion for Person466, property 100: 0.003340 seconds
INFO:root:Insertion for Person467, property 31: 0.003348 seconds
INFO:root:Insertion for Person468, property 35: 0.005804 seconds
INFO:root:Insertion for Person469, property 15: 0.004749 seconds
INFO:root:Insertion for Person470, property 1: 0.005908 seconds
INFO:root:Insertion for Person471, property 28: 0.004075 seconds
INFO:root:Insertion for Person472, property 46: 0.004935 seconds
INFO:root:Insertion for Person473, property 44: 0.004588 seconds
INFO:root:Insertion for Person474, property 90: 0.003002 seconds
INFO:root:Insertion for Person475, property 44: 0.004070 seconds
INFO:root:Insertion for Person476, property 94: 0.004001 seconds
INFO:root:Insertion for Person477, property 91: 0.004003 seconds
INFO:root:Insertion for Person478, property 7: 0.004001 seconds
INFO:root:Insertion for Person479, property 5: 0.003430 seconds
INFO:root:Insertion for Person480, property 16: 0.003110 seconds
INFO:root:Insertion for Person481, property 50: 0.004458 seconds
INFO:root:Insertion for Person482, property 2: 0.003450 seconds
